nces,ben,ffl_name,sites,nces_name,nces_schools,latitude,longitude,buildings_lt1_5,buildings_1_5to3,buildings_3to10,buildings_10to25,buildings_25to50,buildings_50to100,buildings_gt100,min_sites_schools,pct_sites_accounted_for ,nces_over_ffl_sites,data_quality_score,capped_buildings_gt50,pct_bldgs_gt50,pct_bldgs_gt50_alt,bldgs_gt50_alt,pct_bldgs_gt50_alt_label
200090,145689,CRAIG CITY SCHOOL DISTRICT,6,CRAIG CITY SCHOOL DISTRICT,5,55.4879,-133.1286,0,0,2,2,0,0,0,5,67%,83%,4,0,0,0,0,0%
200100,145633,DELTA-GREELY SCHOOL DISTRICT,8,DELTA/GREELY SCHOOL DISTRICT,6,64.0471,-145.7165,1,0,0,4,0,0,0,6,63%,75%,4,0,0,0,0,0%
200120,145574,DILLINGHAM CITY SCHOOL DIST,2,DILLINGHAM CITY SCHOOL DISTRICT,3,59.039379,-158.464335,0,0,1,0,0,0,0,2,50%,150%,4,0,0,0,0,0%
200130,145640,GALENA CITY SCHOOL DISTRICT,4,GALENA CITY SCHOOL DISTRICT,4,64.747993,-156.872434,5,0,12,0,0,0,0,4,425%,100%,4,0,0,0,0,0%
200210,145665,JUNEAU BOROUGH SCHOOL DISTRICT,15,JUNEAU BOROUGH SCHOOL DISTRICT,14,58.302047,-134.420245,0,0,0,15,0,0,0,14,100%,93%,2,0,0,0,0,0%
200240,145679,SITKA SCHOOL DISTRICT,7,SITKA SCHOOL DISTRICT,6,57.064436,-135.352782,0,0,0,0,7,0,0,6,100%,86%,2,0,0,0,0,0%
200270,145671,HAINES BOROUGH SCHOOL DISTRICT,2,HAINES BOROUGH SCHOOL DISTRICT,4,59.234185,-135.453928,0,0,0,2,0,0,0,2,100%,200%,2,0,0,0,0,0%
200300,145672,HOONAH CITY SCHOOL DISTRICT,2,HOONAH CITY SCHOOL DISTRICT,2,58.109277,-135.441718,0,0,1,0,0,0,0,2,50%,100%,4,0,0,0,0,0%
200330,145690,HYDABURG CITY SCHOOL DISTRICT,1,HYDABURG CITY SCHOOL DISTRICT,1,55.2067,-132.8269,0,0,0,1,0,0,0,1,100%,100%,1,0,0,0,0,0%
200360,145673,KAKE CITY SCHOOL DISTRICT,1,KAKE CITY SCHOOL DISTRICT,1,56.9762,-133.9469,0,0,0,1,0,0,0,1,100%,100%,1,0,0,0,0,0%
200450,145692,KLAWOCK CITY SCHOOL DISTRICT,2,KLAWOCK CITY SCHOOL DISTRICT,1,55.559973,-133.09842,0,0,1,0,0,0,0,1,50%,50%,4,0,0,0,0,0%
200485,145583,LAKE & PENINSULA SCHOOL DIST,14,LAKE AND PENINSULA BOROUGH SCHOOL DISTRICT,15,58.701391,-156.666801,0,0,0,0,0,0,0,14,0%,107%,4,0,0,,,NA
200520,145590,IDITAROD AREA SCHOOL DISTRICT,12,IDITAROD AREA SCHOOL DISTRICT,8,62.9511,-155.5922,0,0,5,0,0,0,0,8,42%,67%,4,0,0,0,0,0%
200540,145649,NENANA CITY SCHOOL DISTRICT,4,NENANA CITY SCHOOL DISTRICT,2,64.56191,-149.08845,0,0,5,0,0,0,0,2,125%,50%,4,0,0,0,0,0%
200570,145651,NOME CITY SCHOOL DISTRICT,4,NOME PUBLIC SCHOOLS,5,64.4987,-165.3952,0,0,4,0,0,0,0,4,100%,125%,2,0,0,0,0,0%
200610,145629,NORTH SLOPE BOROUGH SCH DIST,15,NORTH SLOPE BOROUGH SCHOOL DISTRICT,11,71.299926,-156.769893,0,0,7,8,0,0,0,11,100%,73%,2,0,0,0,0,0%
200625,145645,NORTHWEST ARCTIC BORO SCH DIST,13,NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT,12,66.9014,-162.5814,0,0,0,13,0,0,0,12,100%,92%,2,0,0,0,0,0%
200630,145675,PELICAN CITY SCHOOL DISTRICT,1,PELICAN CITY SCHOOL DISTRICT,1,57.9571,-136.2221,0,0,0,0,0,0,0,1,0%,100%,4,0,0,,,NA
200660,145677,PETERSBURG CITY SCHOOL DIST,3,PETERSBURG CITY SCHOOL DISTRICT,3,56.812351,-132.955723,0,0,0,5,0,0,0,3,167%,100%,4,0,0,0,0,0%
200680,145603,ST MARYS CITY SCHOOL DISTRICT,2,SAINT MARY'S SCHOOL DISTRICT,1,62.051317,-163.180147,0,0,3,0,0,0,0,1,150%,50%,4,0,0,0,0,0%
200690,145682,SKAGWAY CITY SCHOOL DISTRICT,1,SKAGWAY CITY SCHOOL DISTRICT,1,59.465656,-135.300533,0,0,0,1,0,0,0,1,100%,100%,1,0,0,0,0,0%
200700,145684,SOUTHEAST ISLAND SCHOOL DIST,11,SOUTHEAST ISLAND SCHOOL DISTRICT,9,55.701647,-132.526495,0,0,1,0,0,0,0,9,9%,82%,4,0,0,0,0,0%
200710,145573,SOUTHWEST REGION SCHOOL DIST,8,SOUTHWEST REGION SCHOOL DISTRICT,8,59.041512,-158.471195,5,0,0,0,0,0,0,8,63%,100%,4,0,0,0,0,0%
200720,145619,UNALASKA CITY SCHOOL DISTRICT,2,UNALASKA CITY SCHOOL DISTRICT,2,53.873385,-166.526015,0,0,1,0,0,0,0,2,50%,100%,4,0,0,0,0,0%
200730,145668,CHATHAM SCHOOL DISTRICT,5,CHATHAM SCHOOL DISTRICT,5,57.502204,-134.581738,0,0,5,0,0,0,0,5,100%,100%,1,0,0,0,0,0%
200760,145560,KUSPUK SCHOOL DISTRICT,10,KUSPUK SCHOOL DISTRICT,9,61.5851,-159.5604,0,0,10,0,0,0,0,9,100%,90%,2,0,0,0,0,0%
200770,145642,DENALI BOROUGH SCHOOL DISTRICT,3,DENALI BOROUGH SCHOOL DISTRICT,4,63.8734,-149.0188,2,0,4,0,1,0,0,3,233%,133%,4,0,0,0,0,0%
200775,145638,YUKON FLATS SCHOOL DISTRICT,9,YUKON FLATS SCHOOL DISTRICT,7,66.5625,-145.2609,0,0,3,0,0,0,0,7,33%,78%,4,0,0,0,0,0%
200800,145552,CHUGACH SCHOOL DISTRICT,4,CHUGACH SCHOOL DISTRICT,4,61.136576,-149.847577,0,0,0,0,0,0,0,4,0%,100%,4,0,0,,,NA
200810,145696,WRANGELL CITY SCHOOL DISTRICT,3,WRANGELL PUBLIC SCHOOL DISTRICT,4,56.470121,-132.380564,0,0,0,2,0,0,0,3,67%,133%,4,0,0,0,0,0%
200840,145623,YAKUTAT CITY SCHOOL DISTRICT,1,YAKUTAT SCHOOL DISTRICT,1,59.54659,-139.7231,0,0,0,0,0,0,0,1,0%,100%,4,0,0,,,NA
200862,145628,YUKON-KOYUKUK SCHOOL DISTRICT,11,YUKON/KOYUKUK SCHOOL DISTRICT,10,64.836746,-147.826988,0,0,9,4,1,0,0,10,127%,91%,4,0,0,0,0,0%
400003,143188,CHINO VALLEY UNIF SCH DIST 51,4,CHINO VALLEY UNIFIED DISTRICT,5,34.747312,-112.454363,0,0,0,39,0,0,0,4,975%,125%,4,0,0,0,0,0%
400004,143190,CLARKDALE-JEROME SCHOOL DIST 3,1,CLARKDALE-JEROME ELEMENTARY DISTRICT,1,34.76826,-112.066582,0,0,132,0,0,0,0,1,13200%,100%,4,0,0,0,0,0%
400016,98167,CENTER FOR ACADEMIC SUCCESS,5,CENTER FOR ACADEMIC SUCCESS  INC.,5,31.558235,-110.291259,0,0,3,0,0,0,0,5,60%,100%,4,0,0,0,0,0%
400022,143146,VERNON ELEMENTARY DISTRICT,1,VERNON ELEMENTARY DISTRICT,1,34.254711,-109.692717,0,0,0,1,0,0,0,1,100%,100%,1,0,0,0,0,0%
400023,143227,PINON UNIF SCHOOL DISTRICT 4,3,PINON UNIFIED DISTRICT,3,36.1122,-110.2129,0,0,12,1,2,0,0,3,500%,100%,4,0,0,0,0,0%
400026,143135,HEBER-OVERGAARD UNIF SCH DST 6,4,HEBER-OVERGAARD UNIFIED DISTRICT,4,34.428402,-110.597936,0,0,0,0,3,0,0,4,75%,100%,4,0,0,0,0,0%
400074,98757,KINGMAN ACAD OF LEARNING-I SCH,1,KINGMAN ACADEMY OF LEARNING,4,35.22507,-114.029089,0,0,5,0,0,0,0,1,500%,400%,4,0,0,0,0,0%
400074,98765,KINGMAN ACAD OF LEARNING-PRIM,1,KINGMAN ACADEMY OF LEARNING,4,35.22507,-114.029089,0,0,1,0,0,0,0,1,100%,400%,2,0,0,0,0,0%
400074,98768,KINGMAN ACAD OF LEARNING-M SCH,1,KINGMAN ACADEMY OF LEARNING,4,35.22507,-114.029089,0,0,7,0,0,0,0,1,700%,400%,4,0,0,0,0,0%
400074,160016,KINGMAN ACADEMY OF LEARNING HIGH SCHOOL,1,KINGMAN ACADEMY OF LEARNING,4,35.22507,-114.029089,0,0,1,0,0,0,0,1,100%,400%,2,0,0,0,0,0%
400081,16062584,PRESIDIO DE LAS SIERRAS SCHOOL,1,PRESIDIO SCHOOL,1,32.264827,-110.94663,0,0,0,0,1,0,0,1,100%,100%,1,0,0,0,0,0%
400089,227355,SEDONA CHARTER SCHOOL,1,SEDONA CHARTER SCHOOL  INC.,1,34.863042,-111.819408,0,0,1,1,0,0,0,1,200%,100%,4,0,0,0,0,0%
400101,148730,Omega Academy,3,OMEGA SCHOOLS D.B.A. OMEGA ACADEMY  INC.,6,33.551933,-112.245579,0,0,0,0,0,0,0,3,0%,200%,4,0,0,,,NA
400128,209096,ACADEMY OF EXCELLENCE,1,ACADEMY OF EXCELLENCE  INC.,3,33.4535,-112.004141,0,0,5,0,0,0,0,1,500%,300%,4,0,0,0,0,0%
400159,16072908,"TUCSON COLLEGIATE PREP, INC",1,TUCSON PREPARATORY SCHOOL,1,32.271994,-110.97095,0,0,0,0,0,0,0,1,0%,100%,4,0,0,,,NA
400163,16038630,COCONINO COUNTY REGIONAL ACCOMMODATION DISTRICT #99,1,COCONINO COUNTY REGIONAL ACCOMMODATION SD,4,35.208875,-111.604267,0,0,1,0,0,0,0,1,100%,400%,2,0,0,0,0,0%
400187,16071825,STEPPING STONES ACADEMY,1,STEPPING STONES ACADEMY,1,33.809539,-112.065468,0,0,3,0,0,0,0,1,300%,100%,4,0,0,0,0,0%
400189,16034285,EAST VALLEY HIGH SCHOOL,1,EAST VALLEY ACADEMY,1,33.437178,-111.79032,2,0,0,0,0,0,0,1,200%,100%,4,0,0,0,0,0%
400219,16060353,CAREER SUCCESS MAIN,5,CAREER SUCCESS SCHOOLS,6,33.630781,-112.136881,0,0,0,5,0,0,0,5,100%,120%,2,0,0,0,0,0%
400227,16045255,SOUTH POINTE ELEMENTARY SCHOOL,1,SOUTH POINTE PUBLIC CHARTER JUNIOR HIGH SCHOOL,1,33.55265,-112.047915,0,0,0,1,0,0,0,1,100%,100%,1,0,0,0,0,0%
400252,98667,LITTLE SINGER COMMUNITY SCHOOL,1,LITTLE SINGER COMMUNITY SCHOOL BOARD INC.,1,35.2585,-110.338,0,0,0,0,14,0,0,1,1400%,100%,4,0,0,0,0,0%
400266,16056298,PACE PREPATORY ACADEMY DISTRICT OFFICE,2,PACE PREPARATORY ACADEMY  INC.,2,34.863839,-111.79263,0,0,4,0,0,0,0,2,200%,100%,4,0,0,0,0,0%
400284,221721,Omega Alpha Academy,1,OMEGA ALPHA ACADEMY,1,31.348625,-109.532348,0,0,0,1,0,0,0,1,100%,100%,1,0,0,0,0,0%
400288,230210,PREMIER HIGH SCHOOL,1,PREMIER CHARTER HIGH SCHOOL,1,33.49467,-112.222594,1,0,0,0,0,0,0,1,100%,100%,1,0,0,0,0,0%
400314,227613,DINE SOUTHWEST HIGH SCHOOL,1,DEVELOPING INNOVATIONS IN NAVAJO EDUCATION  INC. (DINE  INC.,1,35.0272,-110.7014,0,0,1,0,0,0,0,1,100%,100%,1,0,0,0,0,0%
400318,225922,SOUTHSIDE COMMUNITY SCHOOL,1,APRENDER TUCSON,1,32.191284,-110.943518,0,0,0,0,5,0,0,1,500%,100%,4,0,0,0,0,0%
400320,16038741,"ACORN MONTESSORI CHARTER SCHOOL, INC. DISTRICT",2,ACORN MONTESSORI CHARTER SCHOOL,2,34.604318,-112.314264,0,0,0,2,0,0,0,2,100%,100%,1,0,0,0,0,0%
400334,158567,WESTWIND ACADEMY,1,WESTWIND MIDDLE SCHOOL ACADEMY,1,33.553098,-112.102691,0,0,0,0,0,0,0,1,0%,100%,4,0,0,,,NA
400343,232729,GRIFFIN FOUNDATION INC,1,GRIFFIN FOUNDATION  INC. THE,2,32.200329,-110.90955,0,0,0,0,1,0,0,1,100%,200%,2,0,0,0,0,0%
400347,16051188,"COCONINO ASSICIATION FOR VOCATIONS, INDUSTRY, AND TECHNOLOGY (CAVIAT)",1,COCONINO ASSOCIATION FOR VOCATION INDUSTRY AND TECHNOLOGY,11,36.925573,-111.466818,0,0,1,0,0,0,0,1,100%,1100%,2,0,0,0,0,0%
400395,16045398,LEAD CHARTER SCHOOLS,1,LEAD CHARTER SCHOOLS,4,33.358422,-111.789732,0,0,3,1,1,0,0,1,500%,400%,4,0,0,0,0,0%
400437,98833,NAZLINI COMMUNITY SCHOOL,1,NAZLINI COMMUNITY SCHOOL  INC.,1,35.9184,-109.4737,5,0,0,0,0,0,0,1,500%,100%,4,0,0,0,0,0%
400438,16034652,IMAGINE ELEMENTARY AT DESERT WEST,1,IMAGINE CHARTER ELEMENTARY AT DESERT WEST  INC.,1,33.651451,-112.115178,0,0,0,1,0,0,0,1,100%,100%,1,0,0,0,0,0%
400445,16034650,IMAGINE ELEMENTARY AT CAMELBACK,1,IMAGINE CHARTER ELEMENTARY AT CAMELBACK  INC.,1,33.651451,-112.115178,0,0,0,1,0,0,0,1,100%,100%,1,0,0,0,0,0%
400446,16034658,IMAGINE ELEMENTARY AT TEMPE,1,IMAGINE ELEMENTARY AT TEMPE  INC.,1,33.651451,-112.115178,0,0,0,1,0,0,0,1,100%,100%,1,0,0,0,0,0%
400451,221495,KIN DAH LICHIL OLTA,1,KIN DAH LICHII OLTA  INC.,1,35.7428,-109.4394,2,0,0,0,0,0,0,1,200%,100%,4,0,0,0,0,0%
400480,142968,AGUILA ELEM SCHOOL DISTRICT 63,1,AGUILA ELEMENTARY DISTRICT,1,33.9387,-113.1741,0,0,0,0,0,0,0,1,0%,100%,4,0,0,,,NA
400630,143132,ALPINE SCHOOL DISTRICT 7,1,ALPINE ELEMENTARY DISTRICT,1,33.8473,-109.1415,0,0,1,0,0,0,0,1,100%,100%,1,0,0,0,0,0%
400636,16056295,BLUEPRINT EDUCATION,4,BLUEPRINT EDUCATION,3,33.636662,-112.18013,0,0,0,3,0,0,0,3,75%,75%,4,0,0,0,0,0%
400638,16046747,EDKEY INC.,13,EDKEY  INC. - PATHFINDER ACADEMY,1,33.388212,-111.814283,0,0,0,0,0,0,0,1,0%,8%,4,0,0,,,NA
400745,16072993,LEGACY TRADITIONAL SCHOOLS,8,LEGACY TRADITIONAL CHARTER SCHOOL,3,33.055,-112.0129,0,0,0,8,0,0,0,3,100%,38%,2,0,0,0,0,0%
400766,16049097,IMAGINE ELEMENTARY AT COOLIDGE,1,IMAGINE ELEMENTARY AT COOLIDGE  LLC,1,33.651451,-112.115178,0,0,0,1,0,0,0,1,100%,100%,1,0,0,0,0,0%
400770,16049099,IMAGINE PREPARATORY AT SURPRISE,1,IMAGINE PREPARATORY HIGH SCHOOL AT SURPRISE  LLC,1,33.651451,-112.115178,0,0,0,1,0,0,0,1,100%,100%,1,0,0,0,0,0%
400780,16049096,IMAGINE ELEMENTARY AT AVONDALE,1,IMAGINE ELEMENTARY AT AVONDALE  LLC,1,33.651451,-112.115178,0,0,0,1,0,0,0,1,100%,100%,1,0,0,0,0,0%
400781,16055805,MATH AND SCIENCE SUCCESS ACADEMY,1,MATH AND SCIENCE SUCCESS ACADEMY  INC.,1,32.272245,-110.999948,0,0,0,0,1,0,0,1,100%,100%,1,0,0,0,0,0%
400783,16049098,IMAGINE PREPARATORY AT SUPERSTITION,1,IMAGINE PREPARATORY AT SUPERSTITION  LLC,1,33.651451,-112.115178,0,0,0,0,1,0,0,1,100%,100%,1,0,0,0,0,0%
400788,16050294,PHOENIX COLLEGIATE ACADEMY,2,PHOENIX COLLEGIATE ACADEMY  INC.,1,33.395107,-112.073404,0,0,0,2,1,0,0,1,150%,50%,4,0,0,0,0,0%
400789,16050791,LIBERTY ARTS ACADEMY,1,LIBERTY ARTS ACADEMY PUBLIC CHARTER ELEMENTARY SCHOOL,1,33.55265,-112.047915,0,0,0,1,0,0,0,1,100%,100%,1,0,0,0,0,0%
400790,142918,APACHE JUNCTION UNIFIED DISTRICT,10,APACHE JUNCTION UNIFIED DISTRICT,8,33.393316,-111.560537,0,0,1,0,0,0,0,8,10%,80%,4,0,0,0,0,0%
400793,16063888,SUN VALLEY CHARTER SCHOOL,1,MORRISON EDUCATION GROUP  INC.,1,33.393897,-112.134031,65,0,0,0,0,0,0,1,6500%,100%,4,0,0,0,0,0%
400796,16045816,LEARNING FOUNDATION AND PERFORMING ARTS ALTA MESA,1,CAFA  INC. DBA LEARNING FOUNDATION AND PERFORMING ARTS ALTA,1,33.329281,-111.790021,0,0,1,0,0,0,0,1,100%,100%,1,0,0,0,0,0%
400799,16050788,GILBERT ARTS ACADEMY,1,GILBERT ARTS ACADEMY PUBLIC CHARTER ELEMENTARY SCHOOL,1,33.55265,-112.047915,0,0,0,1,0,0,0,1,100%,100%,1,0,0,0,0,0%
400814,16037669,HIAKI HIGH SCHOOL,1,CPLC COMMUNITY SCHOOLS DBA HIAKI HIGH SCHOOL,1,32.224502,-110.971641,0,0,0,1,0,0,0,1,100%,100%,1,0,0,0,0,0%
400815,16061423,RESEARCH BASED EDUCATION CORP PAULDEN COMM SCH,1,RESEARCH BASED EDUCATION CORPORATION,1,33.56749,-112.108305,0,0,3,0,0,0,0,1,300%,100%,4,0,0,0,0,0%
400820,16042646,NORTHPOINT EXPEDITIONARY LEARNING ACADEMY,1,COMPASS POINTS INTERNATIONAL  INC,1,34.550835,-112.472289,0,0,0,1,0,0,0,1,100%,100%,1,0,0,0,0,0%
400840,142970,ARLINGTON SCHOOL DISTRICT 47,1,ARLINGTON ELEMENTARY DISTRICT,1,33.361269,-112.815857,0,0,1,0,0,0,0,1,100%,100%,1,0,0,0,0,0%
400870,143094,ASH CREEK ELEM SCH DISTRICT 53,1,ASH CREEK ELEMENTARY DISTRICT,1,31.876123,-109.599907,0,0,7,0,0,0,0,1,700%,100%,4,0,0,0,0,0%
400910,143181,ASH FORK UNIF SCHOOL DIST 31,1,ASH FORK JOINT UNIFIED DISTRICT,3,35.221066,-112.486693,0,0,1,0,0,0,0,1,100%,300%,2,0,0,0,0,0%
401000,143184,BAGDAD UNIFIED SCHOOL DIST 20,2,BAGDAD UNIFIED DISTRICT,2,34.573,-113.1839,0,0,0,0,13,0,0,2,650%,100%,4,0,0,0,0,0%
401160,143005,BICENTENNIAL UN H S DIST 76,1,BICENTENNIAL UNION HIGH SCHOOL DISTRICT,1,33.7749,-113.6026,0,0,0,0,0,0,0,1,0%,100%,4,0,0,,,NA
